image_dir,conv_a,conv_b,conv_c,conv_d,conv_e,conv_f,conv_g,conv_h,is_fridge_corner
./corner_detector_dataset/images/alex_1664325446_9775467.jpg,-1928.0,-2154.0,-2220.0,-2366.0,252.0,-252.0,186.0,-186.0,0.0
./corner_detector_dataset/images/alex_1664325452_5672567.jpg,-2089.0,-2313.0,-2357.0,-2587.0,271.0,-271.0,227.0,-227.0,0.0
./corner_detector_dataset/images/alex_1664325452_7243366.jpg,-2226.0,-2534.0,-2572.0,-2784.0,298.0,-298.0,260.0,-260.0,0.0
./corner_detector_dataset/images/alex_1664325452_8735778.jpg,-2469.0,-2737.0,-2723.0,-3065.0,291.0,-291.0,305.0,-305.0,0.0
./corner_detector_dataset/images/alex_1664325453_029754.jpg,-2705.0,-2969.0,-2947.0,-3197.0,235.0,-235.0,257.0,-257.0,0.0
./corner_detector_dataset/images/alex_1664325453_1795988.jpg,-2847.0,-3127.0,-3127.0,-3365.0,259.0,-259.0,259.0,-259.0,0.0
./corner_detector_dataset/images/alex_1664325453_337232.jpg,-2996.0,-3310.0,-3282.0,-3576.0,276.0,-276.0,304.0,-304.0,0.0
./corner_detector_dataset/images/alex_1664325453_4946132.jpg,-3181.0,-3549.0,-3481.0,-3823.0,287.0,-287.0,355.0,-355.0,0.0
./corner_detector_dataset/images/alex_1664325453_6599367.jpg,-3381.0,-3693.0,-3719.0,-3981.0,313.0,-313.0,287.0,-287.0,0.0
./corner_detector_dataset/images/alex_1664325453_8255522.jpg,-3517.0,-3881.0,-3865.0,-4195.0,331.0,-331.0,347.0,-347.0,0.0
./corner_detector_dataset/images/alex_1664325454_0062518.jpg,-3727.0,-4149.0,-4047.0,-4475.0,323.0,-323.0,425.0,-425.0,0.0
./corner_detector_dataset/images/alex_1664325454_1953726.jpg,-3805.0,-4751.0,-4499.0,-5047.0,495.0,-495.0,747.0,-747.0,0.0
./corner_detector_dataset/images/alex_1664325454_9741852.jpg,-3908.0,-5178.0,-5596.0,-5938.0,1224.0,-1224.0,806.0,-806.0,0.0
./corner_detector_dataset/images/alex_1664325456_2951198.jpg,-4594.0,-4936.0,-6022.0,-6488.0,1490.0,-1490.0,404.0,-404.0,0.0
./corner_detector_dataset/images/alex_1664325456_79552.jpg,-4686.0,-5022.0,-6148.0,-6352.0,1396.0,-1396.0,270.0,-270.0,0.0
./corner_detector_dataset/images/alex_1664325456_8262997.jpg,-4823.0,-5165.0,-6011.0,-6539.0,1281.0,-1281.0,435.0,-435.0,0.0
./corner_detector_dataset/images/alex_1664325456_855504.jpg,-5139.0,-5507.0,-6013.0,-6567.0,967.0,-967.0,461.0,-461.0,0.0
./corner_detector_dataset/images/alex_1664325456_8860252.jpg,-5214.0,-5420.0,-6230.0,-6240.0,918.0,-918.0,108.0,-108.0,0.0
./corner_detector_dataset/images/alex_1664325456_9156544.jpg,-5033.0,-5295.0,-6003.0,-6247.0,961.0,-961.0,253.0,-253.0,0.0
./corner_detector_dataset/images/alex_1664325456_9443934.jpg,-5114.0,-5194.0,-5862.0,-6082.0,818.0,-818.0,150.0,-150.0,0.0
./corner_detector_dataset/images/alex_1664325456_9750566.jpg,-5035.0,-5193.0,-5635.0,-5887.0,647.0,-647.0,205.0,-205.0,0.0
./corner_detector_dataset/images/alex_1664325457_0047424.jpg,-5075.0,-4999.0,-5395.0,-5569.0,445.0,-445.0,49.0,-49.0,0.0
./corner_detector_dataset/images/alex_1664325457_036029.jpg,-5020.0,-4622.0,-5000.0,-4902.0,130.0,-130.0,-248.0,248.0,0.0
./corner_detector_dataset/images/alex_1664325457_0652862.jpg,-4847.0,-3757.0,-4107.0,-3679.0,-409.0,409.0,-759.0,759.0,0.0
./corner_detector_dataset/images/alex_1664325457_0959218.jpg,-3808.0,-3070.0,-3102.0,-2336.0,-720.0,720.0,-752.0,752.0,0.0
./corner_detector_dataset/images/alex_1664325457_126079.jpg,-2844.0,-2702.0,-2282.0,-2072.0,-596.0,596.0,-176.0,176.0,0.0
./corner_detector_dataset/images/alex_1664325457_1565564.jpg,-2677.0,-2623.0,-1961.0,-2097.0,-621.0,621.0,41.0,-41.0,0.0
./corner_detector_dataset/images/alex_1664325457_1878793.jpg,-3037.0,-3453.0,-1591.0,-2741.0,-1079.0,1079.0,783.0,-783.0,0.0
./corner_detector_dataset/images/alex_1664325457_2164512.jpg,-3528.0,-4788.0,-2656.0,-3412.0,-1124.0,1124.0,1008.0,-1008.0,0.0
./corner_detector_dataset/images/alex_1664325457_2467668.jpg,-4241.0,-4397.0,-3683.0,-3657.0,-649.0,649.0,65.0,-65.0,0.0
./corner_detector_dataset/images/alex_1664325457_278307.jpg,-3737.0,-4611.0,-3903.0,-4103.0,-171.0,171.0,537.0,-537.0,0.0
./corner_detector_dataset/images/alex_1664325457_3068557.jpg,-4076.0,-4550.0,-4340.0,-4714.0,214.0,-214.0,424.0,-424.0,0.0
./corner_detector_dataset/images/alex_1664325457_3373673.jpg,-4280.0,-4364.0,-4556.0,-4616.0,264.0,-264.0,72.0,-72.0,0.0
./corner_detector_dataset/images/alex_1664325457_3674564.jpg,-4170.0,-4138.0,-4376.0,-4376.0,222.0,-222.0,-16.0,16.0,0.0
./corner_detector_dataset/images/alex_1664325457_3981192.jpg,-2136.0,-2354.0,-2162.0,-2368.0,20.0,-20.0,212.0,-212.0,0.0
./corner_detector_dataset/images/alex_1664325457_429108.jpg,-2277.0,-2537.0,-2357.0,-2575.0,59.0,-59.0,239.0,-239.0,0.0
./corner_detector_dataset/images/alex_1664325457_4588299.jpg,-2472.0,-2724.0,-2528.0,-2808.0,70.0,-70.0,266.0,-266.0,0.0
./corner_detector_dataset/images/alex_1664325457_4893863.jpg,-2636.0,-2960.0,-2760.0,-3012.0,88.0,-88.0,288.0,-288.0,0.0
./corner_detector_dataset/images/alex_1664325457_5191483.jpg,-2832.0,-3098.0,-2968.0,-3214.0,126.0,-126.0,256.0,-256.0,0.0
./corner_detector_dataset/images/alex_1664325457_5494606.jpg,-2990.0,-3268.0,-3130.0,-3396.0,134.0,-134.0,272.0,-272.0,0.0
./corner_detector_dataset/images/alex_1664325457_5804462.jpg,-3161.0,-3445.0,-3283.0,-3585.0,131.0,-131.0,293.0,-293.0,0.0
./corner_detector_dataset/images/alex_1664325457_6110241.jpg,-3308.0,-3706.0,-3480.0,-3814.0,140.0,-140.0,366.0,-366.0,0.0
./corner_detector_dataset/images/alex_1664325457_64165.jpg,-3538.0,-3850.0,-3708.0,-4012.0,166.0,-166.0,308.0,-308.0,0.0
./corner_detector_dataset/images/alex_1664325457_6725326.jpg,-3678.0,-4054.0,-3888.0,-4216.0,186.0,-186.0,352.0,-352.0,0.0
./corner_detector_dataset/images/alex_1664325457_7025802.jpg,-3879.0,-4279.0,-4073.0,-4475.0,195.0,-195.0,401.0,-401.0,0.0
./corner_detector_dataset/images/alex_1664325457_733487.jpg,-3690.0,-5532.0,-4718.0,-5712.0,604.0,-604.0,1418.0,-1418.0,0.0
./corner_detector_dataset/images/alex_1664325457_9735606.jpg,-4512.0,-6898.0,-6712.0,-8078.0,1690.0,-1690.0,1876.0,-1876.0,1.0
./corner_detector_dataset/images/alex_1664325458_2657096.jpg,-5784.0,-6690.0,-8364.0,-8706.0,2298.0,-2298.0,624.0,-624.0,0.0
./corner_detector_dataset/images/alex_1664325458_4001849.jpg,-6051.0,-6419.0,-8525.0,-8851.0,2453.0,-2453.0,347.0,-347.0,0.0
./corner_detector_dataset/images/alex_1664325458_90288.jpg,-5976.0,-6518.0,-8464.0,-8798.0,2384.0,-2384.0,438.0,-438.0,0.0
./corner_detector_dataset/images/alex_1664325458_9291928.jpg,-5966.0,-6536.0,-8524.0,-8874.0,2448.0,-2448.0,460.0,-460.0,0.0
./corner_detector_dataset/images/alex_1664325458_9599454.jpg,-6054.0,-6314.0,-8530.0,-8722.0,2442.0,-2442.0,226.0,-226.0,0.0
./corner_detector_dataset/images/alex_1664325458_98965.jpg,-5637.0,-6505.0,-8567.0,-8829.0,2627.0,-2627.0,565.0,-565.0,0.0
./corner_detector_dataset/images/alex_1664325459_1468205.jpg,-5791.0,-6045.0,-8719.0,-8803.0,2843.0,-2843.0,169.0,-169.0,0.0
./corner_detector_dataset/images/alex_1664325459_3434105.jpg,-5821.0,-5541.0,-8179.0,-8265.0,2541.0,-2541.0,-97.0,97.0,0.0
./corner_detector_dataset/images/alex_1664325459_8196018.jpg,-6483.0,-4053.0,-6273.0,-6029.0,883.0,-883.0,-1337.0,1337.0,1.0
./corner_detector_dataset/images/alex_1664325460_1442387.jpg,-5011.0,-4311.0,-4481.0,-4067.0,-387.0,387.0,-557.0,557.0,0.0
./corner_detector_dataset/images/alex_1664325460_2937334.jpg,-4114.0,-3196.0,-3706.0,-2684.0,-460.0,460.0,-970.0,970.0,0.0
./corner_detector_dataset/images/alex_1664325460_7937012.jpg,-2780.0,-2384.0,-2690.0,-2042.0,-216.0,216.0,-522.0,522.0,0.0
./corner_detector_dataset/images/alex_1664325460_8238764.jpg,-2244.0,-1972.0,-2022.0,-1902.0,-146.0,146.0,-196.0,196.0,0.0
./corner_detector_dataset/images/alex_1664325460_8537507.jpg,-2168.0,-1754.0,-1598.0,-1520.0,-402.0,402.0,-246.0,246.0,0.0
./corner_detector_dataset/images/alex_1664325460_884377.jpg,-1997.0,-2007.0,-1201.0,-1465.0,-669.0,669.0,137.0,-137.0,0.0
./corner_detector_dataset/images/alex_1664325460_9173768.jpg,-2111.0,-3509.0,-1457.0,-2733.0,-715.0,715.0,1337.0,-1337.0,0.0
./corner_detector_dataset/images/alex_1664325460_94748.jpg,-3444.0,-3468.0,-2812.0,-2936.0,-582.0,582.0,74.0,-74.0,0.0
./corner_detector_dataset/images/alex_1664325460_9763489.jpg,-2914.0,-4672.0,-3162.0,-4048.0,-188.0,188.0,1322.0,-1322.0,0.0
./corner_detector_dataset/images/alex_1664325461_0077693.jpg,-4060.0,-4598.0,-4374.0,-4836.0,276.0,-276.0,500.0,-500.0,0.0
./corner_detector_dataset/images/alex_1664325461_0382872.jpg,-4401.0,-4371.0,-4603.0,-4667.0,249.0,-249.0,17.0,-17.0,0.0
./corner_detector_dataset/images/alex_1664325461_068639.jpg,-4188.0,-4186.0,-4388.0,-4370.0,192.0,-192.0,-10.0,10.0,0.0
./corner_detector_dataset/images/alex_1664325461_0996673.jpg,-2087.0,-2345.0,-2165.0,-2369.0,51.0,-51.0,231.0,-231.0,0.0
./corner_detector_dataset/images/alex_1664325461_129119.jpg,-2281.0,-2513.0,-2347.0,-2581.0,67.0,-67.0,233.0,-233.0,0.0
./corner_detector_dataset/images/alex_1664325461_1588705.jpg,-2454.0,-2718.0,-2536.0,-2772.0,68.0,-68.0,250.0,-250.0,0.0
./corner_detector_dataset/images/alex_1664325461_190127.jpg,-2639.0,-2943.0,-2717.0,-3015.0,75.0,-75.0,301.0,-301.0,0.0
./corner_detector_dataset/images/alex_1664325461_2197871.jpg,-2830.0,-3134.0,-2964.0,-3212.0,106.0,-106.0,276.0,-276.0,0.0
./corner_detector_dataset/images/alex_1664325461_2500188.jpg,-3015.0,-3273.0,-3137.0,-3397.0,123.0,-123.0,259.0,-259.0,0.0
./corner_detector_dataset/images/alex_1664325461_2801456.jpg,-3162.0,-3432.0,-3286.0,-3548.0,120.0,-120.0,266.0,-266.0,0.0
./corner_detector_dataset/images/alex_1664325461_3116286.jpg,-3340.0,-3656.0,-3394.0,-3770.0,84.0,-84.0,346.0,-346.0,0.0
./corner_detector_dataset/images/alex_1664325461_3413167.jpg,-3541.0,-3857.0,-3623.0,-3913.0,69.0,-69.0,303.0,-303.0,0.0
./corner_detector_dataset/images/alex_1664325461_3703341.jpg,-3716.0,-4032.0,-3760.0,-4108.0,60.0,-60.0,332.0,-332.0,0.0
./corner_detector_dataset/images/alex_1664325461_401988.jpg,-3934.0,-4224.0,-3882.0,-4264.0,-6.0,6.0,336.0,-336.0,0.0
./corner_detector_dataset/images/alex_1664325461_4329927.jpg,-3981.0,-5943.0,-4165.0,-5889.0,65.0,-65.0,1843.0,-1843.0,0.0
./corner_detector_dataset/images/alex_1664325461_4631402.jpg,-5606.0,-8400.0,-6420.0,-8646.0,530.0,-530.0,2510.0,-2510.0,0.0
./corner_detector_dataset/images/alex_1664325461_4934158.jpg,-7718.0,-8408.0,-8336.0,-9174.0,692.0,-692.0,764.0,-764.0,0.0
./corner_detector_dataset/images/alex_1664325461_5237167.jpg,-7854.0,-8538.0,-8770.0,-9098.0,738.0,-738.0,506.0,-506.0,0.0
./corner_detector_dataset/images/alex_1664325461_5549397.jpg,-7853.0,-8405.0,-8805.0,-9299.0,923.0,-923.0,523.0,-523.0,0.0
./corner_detector_dataset/images/alex_1664325461_5856514.jpg,-7887.0,-8461.0,-8843.0,-9343.0,919.0,-919.0,537.0,-537.0,0.0
./corner_detector_dataset/images/alex_1664325461_6164322.jpg,-7866.0,-8330.0,-8960.0,-9212.0,988.0,-988.0,358.0,-358.0,0.0
./corner_detector_dataset/images/alex_1664325461_6474683.jpg,-7928.0,-8446.0,-8622.0,-9468.0,858.0,-858.0,682.0,-682.0,0.0
./corner_detector_dataset/images/alex_1664325461_6774986.jpg,-8200.0,-8292.0,-8712.0,-8916.0,568.0,-568.0,148.0,-148.0,0.0
./corner_detector_dataset/images/alex_1664325461_7066057.jpg,-7875.0,-7639.0,-8323.0,-8125.0,467.0,-467.0,-217.0,217.0,0.0
./corner_detector_dataset/images/alex_1664325461_7385905.jpg,-7315.0,-4323.0,-6955.0,-4605.0,-39.0,39.0,-2671.0,2671.0,0.0
./corner_detector_dataset/images/alex_1664325461_769585.jpg,-4390.0,-3654.0,-3960.0,-3300.0,-392.0,392.0,-698.0,698.0,0.0
./corner_detector_dataset/images/alex_1664325461_799094.jpg,-3324.0,-2736.0,-3172.0,-2344.0,-272.0,272.0,-708.0,708.0,0.0
./corner_detector_dataset/images/alex_1664325461_829207.jpg,-2563.0,-2007.0,-2251.0,-1897.0,-211.0,211.0,-455.0,455.0,0.0
./corner_detector_dataset/images/alex_1664325461_8598459.jpg,-2074.0,-1712.0,-1676.0,-1382.0,-364.0,364.0,-328.0,328.0,0.0
./corner_detector_dataset/images/alex_1664325461_8915622.jpg,-1567.0,-1447.0,-1457.0,-1087.0,-235.0,235.0,-245.0,245.0,0.0
./corner_detector_dataset/images/alex_1664325461_9212606.jpg,-1352.0,-1266.0,-1180.0,-1182.0,-128.0,128.0,-42.0,42.0,0.0
./corner_detector_dataset/images/alex_1664325461_9508724.jpg,-1659.0,-2323.0,-865.0,-2127.0,-495.0,495.0,963.0,-963.0,0.0
./corner_detector_dataset/images/alex_1664325461_9826365.jpg,-2628.0,-2774.0,-1960.0,-1978.0,-732.0,732.0,82.0,-82.0,0.0
./corner_detector_dataset/images/alex_1664325462_0134149.jpg,-2268.0,-4596.0,-2428.0,-4148.0,-144.0,144.0,2024.0,-2024.0,0.0
./corner_detector_dataset/images/alex_1664325462_0426145.jpg,-4157.0,-4647.0,-4299.0,-4803.0,149.0,-149.0,497.0,-497.0,0.0
./corner_detector_dataset/images/alex_1664325462_0739346.jpg,-4397.0,-4453.0,-4611.0,-4577.0,169.0,-169.0,11.0,-11.0,0.0
./corner_detector_dataset/images/alex_1664325462_1035633.jpg,-4085.0,-4283.0,-4499.0,-4495.0,313.0,-313.0,97.0,-97.0,0.0
./corner_detector_dataset/images/alex_1664325462_1348336.jpg,-2104.0,-2314.0,-2094.0,-2340.0,8.0,-8.0,228.0,-228.0,0.0
./corner_detector_dataset/images/alex_1664325462_1652596.jpg,-2262.0,-2526.0,-2310.0,-2530.0,26.0,-26.0,242.0,-242.0,0.0
./corner_detector_dataset/images/alex_1664325462_1944296.jpg,-2435.0,-2713.0,-2511.0,-2759.0,61.0,-61.0,263.0,-263.0,0.0
./corner_detector_dataset/images/alex_1664325462_2241063.jpg,-2635.0,-2911.0,-2705.0,-2983.0,71.0,-71.0,277.0,-277.0,0.0
./corner_detector_dataset/images/alex_1664325462_2553144.jpg,-2829.0,-3129.0,-2907.0,-3193.0,71.0,-71.0,293.0,-293.0,0.0
./corner_detector_dataset/images/alex_1664325462_2847543.jpg,-3030.0,-3266.0,-3094.0,-3342.0,70.0,-70.0,242.0,-242.0,0.0
./corner_detector_dataset/images/alex_1664325462_3152044.jpg,-3153.0,-3425.0,-3237.0,-3487.0,73.0,-73.0,261.0,-261.0,0.0
./corner_detector_dataset/images/alex_1664325462_345813.jpg,-3319.0,-3557.0,-3345.0,-3633.0,51.0,-51.0,263.0,-263.0,0.0
./corner_detector_dataset/images/alex_1664325462_3762803.jpg,-3494.0,-3712.0,-3440.0,-3730.0,-18.0,18.0,254.0,-254.0,0.0
./corner_detector_dataset/images/alex_1664325462_4064922.jpg,-3624.0,-3876.0,-3532.0,-3816.0,-76.0,76.0,268.0,-268.0,0.0
./corner_detector_dataset/images/alex_1664325462_4367363.jpg,-3710.0,-4034.0,-3680.0,-3952.0,-56.0,56.0,298.0,-298.0,0.0
./corner_detector_dataset/images/alex_1664325462_4683528.jpg,-3992.0,-5542.0,-3682.0,-5516.0,-168.0,168.0,1692.0,-1692.0,0.0
./corner_detector_dataset/images/alex_1664325462_4971635.jpg,-5294.0,-8962.0,-6100.0,-8752.0,298.0,-298.0,3160.0,-3160.0,0.0
./corner_detector_dataset/images/alex_1664325462_5265884.jpg,-7920.0,-8662.0,-8774.0,-9420.0,806.0,-806.0,694.0,-694.0,0.0
./corner_detector_dataset/images/alex_1664325462_5580237.jpg,-8142.0,-8778.0,-8934.0,-9578.0,796.0,-796.0,640.0,-640.0,0.0
./corner_detector_dataset/images/alex_1664325462_587376.jpg,-8293.0,-8839.0,-9063.0,-9571.0,751.0,-751.0,527.0,-527.0,0.0
./corner_detector_dataset/images/alex_1664325462_6177166.jpg,-8332.0,-8884.0,-9046.0,-9598.0,714.0,-714.0,552.0,-552.0,0.0
./corner_detector_dataset/images/alex_1664325462_648042.jpg,-8345.0,-8883.0,-9093.0,-9541.0,703.0,-703.0,493.0,-493.0,0.0
./corner_detector_dataset/images/alex_1664325462_6785762.jpg,-8299.0,-8829.0,-9091.0,-9547.0,755.0,-755.0,493.0,-493.0,0.0
./corner_detector_dataset/images/alex_1664325462_709113.jpg,-8456.0,-8186.0,-8872.0,-8930.0,580.0,-580.0,-106.0,106.0,0.0
./corner_detector_dataset/images/alex_1664325462_7388592.jpg,-7882.0,-7640.0,-8218.0,-8004.0,350.0,-350.0,-228.0,228.0,0.0
./corner_detector_dataset/images/alex_1664325462_7693164.jpg,-7116.0,-3800.0,-6874.0,-4050.0,4.0,-4.0,-3070.0,3070.0,0.0
./corner_detector_dataset/images/alex_1664325462_800346.jpg,-3826.0,-3052.0,-3516.0,-2826.0,-268.0,268.0,-732.0,732.0,0.0
./corner_detector_dataset/images/alex_1664325462_829722.jpg,-2815.0,-2461.0,-2703.0,-2167.0,-203.0,203.0,-445.0,445.0,0.0
./corner_detector_dataset/images/alex_1664325462_8600943.jpg,-2229.0,-1775.0,-2209.0,-1681.0,-57.0,57.0,-491.0,491.0,0.0
./corner_detector_dataset/images/alex_1664325462_8891368.jpg,-1658.0,-1350.0,-1648.0,-1340.0,-10.0,10.0,-308.0,308.0,0.0
./corner_detector_dataset/images/alex_1664325462_9181585.jpg,-1348.0,-1218.0,-1328.0,-1210.0,-14.0,14.0,-124.0,124.0,0.0
./corner_detector_dataset/images/alex_1664325462_950023.jpg,-1246.0,-1142.0,-1202.0,-1122.0,-32.0,32.0,-92.0,92.0,0.0
./corner_detector_dataset/images/alex_1664325462_9805048.jpg,-1424.0,-1476.0,-872.0,-1420.0,-304.0,304.0,300.0,-300.0,0.0
./corner_detector_dataset/images/alex_1664325463_0118935.jpg,-1595.0,-2133.0,-1391.0,-1555.0,-391.0,391.0,351.0,-351.0,0.0
./corner_detector_dataset/images/alex_1664325463_0409684.jpg,-1991.0,-4295.0,-2003.0,-4197.0,-43.0,43.0,2249.0,-2249.0,0.0
./corner_detector_dataset/images/alex_1664325463_0704513.jpg,-4050.0,-4602.0,-4164.0,-4620.0,66.0,-66.0,504.0,-504.0,0.0
./corner_detector_dataset/images/alex_1664325463_1019382.jpg,-4207.0,-4553.0,-4605.0,-4685.0,265.0,-265.0,213.0,-213.0,0.0
./corner_detector_dataset/images/alex_1664325463_132307.jpg,-4235.0,-4401.0,-4587.0,-4803.0,377.0,-377.0,191.0,-191.0,0.0
./corner_detector_dataset/images/alex_1664325463_1620007.jpg,-2043.0,-2279.0,-2121.0,-2307.0,53.0,-53.0,211.0,-211.0,0.0
./corner_detector_dataset/images/alex_1664325463_1936362.jpg,-2236.0,-2468.0,-2290.0,-2546.0,66.0,-66.0,244.0,-244.0,0.0
./corner_detector_dataset/images/alex_1664325463_22324.jpg,-2436.0,-2672.0,-2468.0,-2724.0,42.0,-42.0,246.0,-246.0,0.0
./corner_detector_dataset/images/alex_1664325463_2537432.jpg,-2605.0,-2885.0,-2663.0,-2917.0,45.0,-45.0,267.0,-267.0,0.0
./corner_detector_dataset/images/alex_1664325463_2852774.jpg,-2795.0,-3077.0,-2849.0,-3133.0,55.0,-55.0,283.0,-283.0,0.0
./corner_detector_dataset/images/alex_1664325463_3154202.jpg,-2979.0,-3201.0,-3041.0,-3253.0,57.0,-57.0,217.0,-217.0,0.0
./corner_detector_dataset/images/alex_1664325463_344582.jpg,-3133.0,-3303.0,-3099.0,-3351.0,7.0,-7.0,211.0,-211.0,0.0
./corner_detector_dataset/images/alex_1664325463_3748093.jpg,-3231.0,-3453.0,-3181.0,-3409.0,-47.0,47.0,225.0,-225.0,0.0
./corner_detector_dataset/images/alex_1664325463_4051232.jpg,-3280.0,-3568.0,-3338.0,-3526.0,8.0,-8.0,238.0,-238.0,0.0
./corner_detector_dataset/images/alex_1664325463_4345777.jpg,-3348.0,-3662.0,-3482.0,-3732.0,102.0,-102.0,282.0,-282.0,0.0
./corner_detector_dataset/images/alex_1664325463_464325.jpg,-3606.0,-3678.0,-3522.0,-3814.0,26.0,-26.0,182.0,-182.0,0.0
./corner_detector_dataset/images/alex_1664325463_4950407.jpg,-3706.0,-4980.0,-3444.0,-4838.0,-202.0,202.0,1334.0,-1334.0,0.0
./corner_detector_dataset/images/alex_1664325463_5248716.jpg,-4754.0,-9276.0,-5646.0,-9160.0,388.0,-388.0,4018.0,-4018.0,0.0
./corner_detector_dataset/images/alex_1664325463_5547829.jpg,-8272.0,-8964.0,-9098.0,-9782.0,822.0,-822.0,688.0,-688.0,0.0
./corner_detector_dataset/images/alex_1664325463_5842962.jpg,-8471.0,-9051.0,-9223.0,-9817.0,759.0,-759.0,587.0,-587.0,0.0
./corner_detector_dataset/images/alex_1664325463_616111.jpg,-8533.0,-9099.0,-9279.0,-9795.0,721.0,-721.0,541.0,-541.0,0.0
./corner_detector_dataset/images/alex_1664325463_646184.jpg,-8555.0,-9091.0,-9275.0,-9789.0,709.0,-709.0,525.0,-525.0,0.0
./corner_detector_dataset/images/alex_1664325463_6786015.jpg,-8545.0,-9095.0,-9269.0,-9777.0,703.0,-703.0,529.0,-529.0,0.0
