index,image_dir,conv_a,conv_b,conv_c,conv_d,conv_e,conv_f,conv_g,conv_h,is_fridge_corner
1208,./corner_detector_dataset/images/javier_1664326504_015201.jpg,-8080.0,-8124.0,-6738.0,-7350.0,-1058.0,1058.0,328.0,-328.0,0.0
447,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_6062865.jpg,-3218.0,-1586.0,-3466.0,-3770.0,1216.0,-1216.0,-664.0,664.0,1.0
1460,./corner_detector_dataset/images/alex_1664325525_1449716.jpg,-6807.0,-7623.0,-6611.0,-7145.0,-337.0,337.0,675.0,-675.0,0.0
1503,./corner_detector_dataset/images/josea_1664325276_1945488.jpg,-4297.0,-5539.0,-4787.0,-5879.0,415.0,-415.0,1167.0,-1167.0,0.0
1219,./corner_detector_dataset/images/alex_1664325502_5262618.jpg,-2863.0,-2731.0,-2799.0,-2677.0,-59.0,59.0,-127.0,127.0,0.0
348,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_5112405.jpg,-2586.0,-2268.0,-2318.0,-1752.0,-392.0,392.0,-442.0,442.0,1.0
453,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_6122732.jpg,-4013.0,-5093.0,-5341.0,-6011.0,1123.0,-1123.0,875.0,-875.0,1.0
1378,./corner_detector_dataset/images/josea_1664326602_1474028.jpg,-3540.0,-2590.0,-3182.0,-2304.0,-322.0,322.0,-914.0,914.0,0.0
484,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_6431894.jpg,-2829.0,-6555.0,-2467.0,-7911.0,497.0,-497.0,4585.0,-4585.0,1.0
931,./corner_detector_dataset/images/josea_1664325514_243489.jpg,-3135.0,-3433.0,-3281.0,-3533.0,123.0,-123.0,275.0,-275.0,0.0
432,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_5923257.jpg,-4336.0,-5298.0,-1318.0,-5268.0,-1524.0,1524.0,2456.0,-2456.0,1.0
1468,./corner_detector_dataset/images/javier_1664326497_6295214.jpg,-3716.0,-3246.0,-4142.0,-3584.0,382.0,-382.0,-514.0,514.0,0.0
1616,./corner_detector_dataset/images/javier_1664326630_9466493.jpg,-9097.0,-6861.0,-7453.0,-7591.0,-457.0,457.0,-1049.0,1049.0,0.0
1657,./corner_detector_dataset/images/alex_1664325607_248121.jpg,-1675.0,-1721.0,-1923.0,-1951.0,239.0,-239.0,37.0,-37.0,0.0
2020,./corner_detector_dataset/images/alex_1664325588_4316788.jpg,-9514.0,-10524.0,-10292.0,-11222.0,738.0,-738.0,970.0,-970.0,0.0
1234,./corner_detector_dataset/images/javier_1664326622_8742645.jpg,-1370.0,-1302.0,-1304.0,-1308.0,-30.0,30.0,-32.0,32.0,0.0
1631,./corner_detector_dataset/images/javier_1664326681_9564002.jpg,-8560.0,-9236.0,-9364.0,-10020.0,794.0,-794.0,666.0,-666.0,0.0
774,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_9577847.jpg,-370.0,-2028.0,-2474.0,-2912.0,1494.0,-1494.0,1048.0,-1048.0,1.0
2068,./corner_detector_dataset/images/alex_1664325680_2109485.jpg,-7500.0,-7978.0,-7944.0,-8398.0,432.0,-432.0,466.0,-466.0,0.0
56,./corner_detector_dataset/images/javier_1664326478_7588944.jpg,-1347.0,-2583.0,-1257.0,-2395.0,-139.0,139.0,1187.0,-1187.0,1.0
1697,./corner_detector_dataset/images/alex_1664325588_977401.jpg,-7542.0,-8094.0,-8004.0,-8244.0,306.0,-306.0,396.0,-396.0,0.0
994,./corner_detector_dataset/images/javier_1664326692_865342.jpg,-6868.0,-9502.0,-6066.0,-7544.0,-1380.0,1380.0,2056.0,-2056.0,0.0
194,./corner_detector_dataset/images/josea_1664326990_5492067.jpg,-8643.0,-5509.0,-8033.0,-4533.0,-793.0,793.0,-3317.0,3317.0,1.0
258,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_412481.jpg,-1413.0,-3841.0,-2655.0,-4981.0,1191.0,-1191.0,2377.0,-2377.0,1.0
2021,./corner_detector_dataset/images/alex_1664325559_5019166.jpg,-4322.0,-4308.0,-2896.0,-2190.0,-1772.0,1772.0,-360.0,360.0,0.0
558,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_7389352.jpg,-3985.0,-2485.0,-3871.0,-3717.0,559.0,-559.0,-827.0,827.0,1.0
858,./corner_detector_dataset/images/alex_1664325713_8624876.jpg,-7653.0,-5481.0,-8019.0,-5893.0,389.0,-389.0,-2149.0,2149.0,0.0
1696,./corner_detector_dataset/images/josea_1664326258_315808.jpg,-7637.0,-5149.0,-7723.0,-5449.0,193.0,-193.0,-2381.0,2381.0,0.0
1432,./corner_detector_dataset/images/javier_1664326655_7600532.jpg,-2564.0,-2130.0,-2788.0,-2386.0,240.0,-240.0,-418.0,418.0,0.0
660,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_8416605.jpg,-2762.0,-4238.0,-4128.0,-4964.0,1046.0,-1046.0,1156.0,-1156.0,1.0
1392,./corner_detector_dataset/images/alex_1664325659_2471607.jpg,-3132.0,-2642.0,-3116.0,-34.0,-1312.0,1312.0,-1786.0,1786.0,0.0
874,./corner_detector_dataset/images/josea_1664325101_1403618.jpg,-3223.0,-2969.0,-2211.0,-2023.0,-979.0,979.0,-221.0,221.0,0.0
