image_dir,conv_a,conv_b,conv_c,conv_d,conv_e,conv_f,conv_g,conv_h,is_fridge_corner
./corner_detector_dataset/images/javier_1664326442_3028378.jpg,-7760.0,-8286.0,-8408.0,-8870.0,616.0,-616.0,494.0,-494.0,0.0
./corner_detector_dataset/images/javier_1664326452_3558226.jpg,-7801.0,-8245.0,-8403.0,-8853.0,605.0,-605.0,447.0,-447.0,0.0
./corner_detector_dataset/images/javier_1664326452_537664.jpg,-7787.0,-8307.0,-8369.0,-8871.0,573.0,-573.0,511.0,-511.0,0.0
./corner_detector_dataset/images/javier_1664326452_6947758.jpg,-7815.0,-8325.0,-8403.0,-8867.0,565.0,-565.0,487.0,-487.0,0.0
./corner_detector_dataset/images/javier_1664326452_8515382.jpg,-7828.0,-8294.0,-8416.0,-8842.0,568.0,-568.0,446.0,-446.0,0.0
./corner_detector_dataset/images/javier_1664326453_0558383.jpg,-7825.0,-8309.0,-8357.0,-8859.0,541.0,-541.0,493.0,-493.0,0.0
./corner_detector_dataset/images/javier_1664326453_557046.jpg,-7842.0,-8376.0,-8374.0,-8868.0,512.0,-512.0,514.0,-514.0,0.0
./corner_detector_dataset/images/javier_1664326453_5883183.jpg,-7907.0,-8023.0,-8391.0,-8513.0,487.0,-487.0,119.0,-119.0,0.0
./corner_detector_dataset/images/javier_1664326453_6188881.jpg,-7508.0,-7974.0,-8000.0,-8418.0,468.0,-468.0,442.0,-442.0,0.0
./corner_detector_dataset/images/javier_1664326453_6497905.jpg,-7499.0,-7989.0,-7999.0,-8451.0,481.0,-481.0,471.0,-471.0,0.0
./corner_detector_dataset/images/javier_1664326453_6804895.jpg,-7312.0,-7050.0,-8228.0,-7526.0,696.0,-696.0,-482.0,482.0,0.0
./corner_detector_dataset/images/javier_1664326453_7108316.jpg,-6382.0,-7316.0,-7082.0,-8248.0,816.0,-816.0,1050.0,-1050.0,0.0
./corner_detector_dataset/images/javier_1664326453_741177.jpg,-7239.0,-7555.0,-7753.0,-8135.0,547.0,-547.0,349.0,-349.0,0.0
./corner_detector_dataset/images/javier_1664326453_771321.jpg,-7151.0,-7553.0,-7671.0,-8031.0,499.0,-499.0,381.0,-381.0,0.0
./corner_detector_dataset/images/javier_1664326453_8021371.jpg,-7125.0,-7517.0,-7603.0,-7993.0,477.0,-477.0,391.0,-391.0,0.0
./corner_detector_dataset/images/javier_1664326453_833692.jpg,-7123.0,-7533.0,-7539.0,-7971.0,427.0,-427.0,421.0,-421.0,0.0
./corner_detector_dataset/images/javier_1664326453_863675.jpg,-7117.0,-7525.0,-7543.0,-7917.0,409.0,-409.0,391.0,-391.0,0.0
./corner_detector_dataset/images/javier_1664326453_8944736.jpg,-7051.0,-7517.0,-7553.0,-7913.0,449.0,-449.0,413.0,-413.0,0.0
./corner_detector_dataset/images/javier_1664326453_924744.jpg,-7033.0,-7535.0,-7563.0,-8011.0,503.0,-503.0,475.0,-475.0,0.0
./corner_detector_dataset/images/javier_1664326453_9557164.jpg,-7101.0,-7667.0,-7623.0,-8163.0,509.0,-509.0,553.0,-553.0,0.0
