image_dir,conv_a,conv_b,conv_c,conv_d,conv_e,conv_f,conv_g,conv_h,is_fridge_corner
./corner_detector_dataset/images/josea_1664324875_8755238.jpg,-1937.0,-2161.0,-2163.0,-2313.0,189.0,-189.0,187.0,-187.0,0.0
./corner_detector_dataset/images/josea_1664324877_939184.jpg,-2068.0,-2310.0,-2322.0,-2520.0,232.0,-232.0,220.0,-220.0,0.0
./corner_detector_dataset/images/josea_1664324878_442032.jpg,-2223.0,-2505.0,-2513.0,-2749.0,267.0,-267.0,259.0,-259.0,0.0
./corner_detector_dataset/images/josea_1664324915_4812465.jpg,-2431.0,-2715.0,-2695.0,-2993.0,271.0,-271.0,291.0,-291.0,0.0
./corner_detector_dataset/images/josea_1664324915_5569873.jpg,-2655.0,-2919.0,-2897.0,-3163.0,243.0,-243.0,265.0,-265.0,0.0
./corner_detector_dataset/images/josea_1664324919_535578.jpg,-2831.0,-3107.0,-3075.0,-3333.0,235.0,-235.0,267.0,-267.0,0.0
./corner_detector_dataset/images/josea_1664324919_9349773.jpg,-3014.0,-3326.0,-3216.0,-3552.0,214.0,-214.0,324.0,-324.0,0.0
./corner_detector_dataset/images/josea_1664324920_1507723.jpg,-3191.0,-3571.0,-3445.0,-3759.0,221.0,-221.0,347.0,-347.0,0.0
./corner_detector_dataset/images/josea_1664324920_3291357.jpg,-3377.0,-3699.0,-3693.0,-3945.0,281.0,-281.0,287.0,-287.0,0.0
./corner_detector_dataset/images/josea_1664324920_5137155.jpg,-3526.0,-3876.0,-3838.0,-4168.0,302.0,-302.0,340.0,-340.0,0.0
./corner_detector_dataset/images/josea_1664324922_2615402.jpg,-3728.0,-4148.0,-4010.0,-4446.0,290.0,-290.0,428.0,-428.0,0.0
./corner_detector_dataset/images/josea_1664324927_3032792.jpg,-3787.0,-4733.0,-4493.0,-4989.0,481.0,-481.0,721.0,-721.0,0.0
./corner_detector_dataset/images/josea_1664324927_8147717.jpg,-3898.0,-5166.0,-5542.0,-5938.0,1208.0,-1208.0,832.0,-832.0,0.0
./corner_detector_dataset/images/josea_1664324927_9987414.jpg,-4603.0,-4943.0,-6001.0,-6451.0,1453.0,-1453.0,395.0,-395.0,0.0
./corner_detector_dataset/images/josea_1664324928_3114345.jpg,-4681.0,-5031.0,-6121.0,-6345.0,1377.0,-1377.0,287.0,-287.0,0.0
./corner_detector_dataset/images/josea_1664324928_8122218.jpg,-4829.0,-5185.0,-6011.0,-6529.0,1263.0,-1263.0,437.0,-437.0,0.0
./corner_detector_dataset/images/josea_1664324928_879391.jpg,-5152.0,-5516.0,-6014.0,-6570.0,958.0,-958.0,460.0,-460.0,0.0
./corner_detector_dataset/images/josea_1664324928_9340253.jpg,-5402.0,-5624.0,-6068.0,-6426.0,734.0,-734.0,290.0,-290.0,0.0
./corner_detector_dataset/images/josea_1664324928_9855273.jpg,-5477.0,-5749.0,-5971.0,-6349.0,547.0,-547.0,325.0,-325.0,0.0
./corner_detector_dataset/images/josea_1664324929_044952.jpg,-5642.0,-5734.0,-5858.0,-6170.0,326.0,-326.0,202.0,-202.0,0.0
./corner_detector_dataset/images/josea_1664324929_095315.jpg,-5338.0,-5518.0,-5914.0,-5714.0,386.0,-386.0,-10.0,10.0,0.0
./corner_detector_dataset/images/josea_1664324929_1546075.jpg,-5139.0,-5059.0,-5437.0,-5643.0,441.0,-441.0,63.0,-63.0,0.0
./corner_detector_dataset/images/josea_1664324929_2093697.jpg,-5085.0,-4689.0,-5045.0,-4939.0,105.0,-105.0,-251.0,251.0,0.0
./corner_detector_dataset/images/josea_1664324929_2570393.jpg,-4905.0,-3801.0,-4155.0,-3701.0,-425.0,425.0,-779.0,779.0,0.0
./corner_detector_dataset/images/josea_1664324929_6560721.jpg,-3841.0,-3121.0,-3131.0,-2373.0,-729.0,729.0,-739.0,739.0,0.0
./corner_detector_dataset/images/josea_1664324929_857021.jpg,-2905.0,-2747.0,-2303.0,-2103.0,-623.0,623.0,-179.0,179.0,0.0
./corner_detector_dataset/images/josea_1664324930_0225909.jpg,-2705.0,-2659.0,-1991.0,-2103.0,-635.0,635.0,33.0,-33.0,0.0
./corner_detector_dataset/images/josea_1664324930_187891.jpg,-3069.0,-3467.0,-1605.0,-2753.0,-1089.0,1089.0,773.0,-773.0,0.0
./corner_detector_dataset/images/josea_1664324930_3224862.jpg,-3533.0,-4793.0,-2665.0,-3399.0,-1131.0,1131.0,997.0,-997.0,0.0
./corner_detector_dataset/images/josea_1664324930_8386776.jpg,-4259.0,-4379.0,-3667.0,-3645.0,-663.0,663.0,49.0,-49.0,0.0
./corner_detector_dataset/images/josea_1664324930_897962.jpg,-3725.0,-4619.0,-3883.0,-4079.0,-191.0,191.0,545.0,-545.0,0.0
./corner_detector_dataset/images/josea_1664324930_948926.jpg,-4084.0,-4558.0,-4320.0,-4718.0,198.0,-198.0,436.0,-436.0,0.0
./corner_detector_dataset/images/josea_1664324931_0172946.jpg,-4293.0,-4405.0,-4565.0,-4631.0,249.0,-249.0,89.0,-89.0,0.0
./corner_detector_dataset/images/josea_1664324931_0576057.jpg,-4182.0,-4132.0,-4400.0,-4378.0,232.0,-232.0,-36.0,36.0,0.0
./corner_detector_dataset/images/josea_1664324931_1251612.jpg,-2089.0,-2289.0,-2121.0,-2331.0,37.0,-37.0,205.0,-205.0,0.0
